rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
127,Daniel Elahi Galan Riveros,Colombia,COL,582,102,2021-11-01,-6,-23,764
128,Tomas Martin Etcheverry,Argentina,ARG,574,128,2022-01-31,3,18,574
129,Juan Pablo Varillas Patino Samudio,Peru,PER,567,117,2021-09-27,0,0,691
130,Gilles Simon,France,FRA,553,6,2009-01-05,-7,-35,4170
131,Thiago Seyboth Wild,Brazil,BRA,550,106,2020-09-14,2,0,695
132,Kyle Edmund,United Kingdom,GBR,546,14,2018-10-08,-2,-10,2330
133,Jurij Rodionov,Austria,AUT,542,131,2021-10-25,4,32,579
134,Philipp Kohlschreiber,Germany,GER,533,16,2012-07-30,0,0,2160
135,Ernesto Escobedo,United States,USA,526,67,2017-07-17,6,29,695
136,Nikola Milojevic,Serbia,SRB,525,129,2021-04-05,3,19,582
137,Joao Sousa,Portugal,POR,522,28,2016-05-16,3,22,1355
138,Jiri Lehecka,Czech Republic,CZE,522,138,2021-11-22,4,28,522
139,Juan Ignacio Londero,Argentina,ARG,512,50,2019-11-11,-3,0,1017
140,Aleksandar Vukic,Australia,AUS,504,140,2022-01-31,4,27,504
141,Quentin Halys,France,FRA,500,102,2018-02-05,7,43,531
142,Emilio Gomez,Ecuador,ECU,486,142,2022-01-31,11,36,486
143,Marcelo Tomas Barrios Vera,Chile,CHI,485,141,2021-11-08,4,27,485
144,Alejandro Tabilo,Chile,CHI,483,135,2021-11-29,-9,-35,518
145,Salvatore Caruso,Italy,ITA,476,76,2020-11-16,1,18,928
146,Zdenek Kolar,Czech Republic,CZE,474,136,2021-11-01,-3,-7,509
147,Christopher Oconnell,Australia,AUS,467,111,2020-09-14,28,84,679
148,Roman Safiullin,Russian Federation,RUS,466,146,2022-01-10,1,11,478
149,Nicolas Jarry,Chile,CHI,460,38,2019-07-22,-4,0,1135
150,Jack Sock,United States,USA,457,8,2017-11-20,7,16,3165
151,Stefan Kozlov,United States,USA,451,115,2017-02-20,18,50,509
152,Damir Dzumhur,Bosnia and Herzegovina,BIH,447,23,2018-07-02,9,18,1665
153,Alex Bolt,Australia,AUS,446,125,2019-03-04,-1,-5,564
154,Bjorn Fratangelo,United States,USA,444,99,2016-06-06,4,3,583
155,Attila Balazs,Hungary,HUN,443,76,2020-03-02,-1,-7,784
156,Lucas Pouille,France,FRA,442,10,2018-03-19,4,2,2746
157,Mats Moraing,Germany,GER,441,148,2018-07-30,-1,-3,444
158,Hugo Grenier,France,FRA,421,149,2022-01-10,-3,-24,459
159,Stan Wawrinka,Switzerland,SUI,417,3,2014-01-27,-57,-315,6865
160,Gregoire Barrere,France,FRA,416,80,2019-10-07,7,13,665
161,Altug Celikbilek,Turkey,TUR,415,160,2021-11-01,4,0,428
162,Enzo Couacaud,France,FRA,410,162,2022-01-31,4,-3,429
163,Elias Ymer,Sweden,SWE,410,105,2018-06-11,5,9,534
164,Illya Marchenko,Ukraine,UKR,408,49,2016-09-26,0,-19,905
165,Tennys Sandgren,United States,USA,403,41,2019-01-14,-71,-356,1091
166,Mikhail Kukushkin,Kazakhstan,KAZ,397,39,2019-02-25,14,35,1075
167,Mitchell Krueger,United States,USA,391,147,2021-10-25,-4,-37,462
168,Jozef Kovalik,Slovakia,SVK,390,80,2018-10-22,-17,-62,701
169,Mario Vilella Martinez,Spain,ESP,389,158,2021-07-19,5,4,479
170,Pedro Sousa,Portugal,POR,388,99,2019-02-18,2,-3,726
171,Christopher Eubanks,United States,USA,381,147,2019-04-15,-9,-47,428
172,Kacper Zuk,Poland,POL,379,162,2021-09-13,-1,-16,439
173,Jason Jung,"Taiwan, Province of China",TPE,378,114,2018-07-30,3,-2,500
174,Federico Gaio,Italy,ITA,371,124,2020-02-03,-15,-70,548
175,Blaz Rola,Slovenia,SLO,368,78,2015-01-05,4,0,669
176,Max Purcell,Australia,AUS,365,173,2022-01-17,-3,-21,404
177,Daniel Masur,Germany,GER,361,177,2022-01-31,4,0,361
178,Camilo Ugo Carabelli,Argentina,ARG,358,178,2022-01-31,,,358
179,Franco Agamenone,Argentina,ARG,356,179,2022-01-31,10,6,356
180,Dmitry Popko,Kazakhstan,KAZ,356,162,2021-10-25,-3,-22,435
181,Pavel Kotov,Russian Federation,RUS,354,181,2022-01-31,,,354
182,Ramkumar Ramanathan,India,IND,353,111,2018-07-30,0,-7,495
183,Cem Ilkel,Turkey,TUR,352,144,2021-11-29,-33,-103,468
184,Alessandro Giannessi,Italy,ITA,350,84,2017-07-24,0,-7,610
185,Renzo Olivo,Argentina,ARG,347,78,2017-01-09,6,0,693
186,Zizou Bergs,Belgium,BEL,347,185,2021-11-22,1,-6,378
187,Sebastian Ofner,Austria,AUT,347,126,2019-05-06,5,0,486
188,Chun Hsin Tseng,"Taiwan, Province of China",TPE,345,187,2022-01-10,2,-3,352
189,Yuichi Sugita,Japan,JPN,341,36,2017-10-09,-11,-35,1240
190,Nuno Borges,Portugal,POR,340,190,2022-01-31,3,-6,346
191,Marc Andrea Huesler,Switzerland,SUI,339,142,2021-01-25,-8,-19,498
192,Flavio Cobolli,Italy,ITA,338,192,2022-01-31,7,12,338
193,Vit Kopriva,Czech Republic,CZE,338,192,2021-11-08,2,-7,359
194,Evgeny Donskoy,Russian Federation,RUS,333,65,2013-07-08,-8,-20,764
195,Thomas Fabbiano,Italy,ITA,332,70,2017-09-18,,,715
196,Jay Clarke,United Kingdom,GBR,329,153,2019-07-22,-11,-27,361
197,Lukas Lacko,Slovakia,SVK,329,44,2013-01-14,-9,-22,917
198,Facundo Mena,Argentina,ARG,327,195,2019-09-16,,,327
199,Marco Trungelliti,Argentina,ARG,326,112,2019-03-04,-1,0,517
200,Fernando Verdasco,Spain,ESP,325,7,2009-04-20,-30,-74,3900
